com,sci,pnoct
Broad-billed Motmot,Electron platyrhynchum,0
Broad-tailed Hummingbird,Selasphorus platycercus,0.310580204778157
Broad-winged Hawk,Buteo platypterus,0.07114308553157474
Brown Creeper,Certhia americana,0.18745852687458528
Brown Jay,Psilorhinus morio,0.03409090909090909
Brown Thrasher,Toxostoma rufum,0.07332729816476011
Brown-crested Flycatcher,Myiarchus tyrannulus,0.15625
Brown-headed Cowbird,Molothrus ater,0.028629692237516435
Brown-headed Nuthatch,Sitta pusilla,0.06211071657255952
Buff-collared Nightjar,Antrostomus ridgwayi,1
Buff-rumped Warbler,Myiothlypis fulvicauda,0.1152542372881356
Buff-throated Saltator,Saltator maximus,0
Bufflehead,Bucephala albeola,0.5
Bullock's Oriole,Icterus bullockii,0.18961625282167044
Burrowing Owl,Athene cunicularia,0.5
Bushtit,Psaltriparus minimus,0.20890382192356152
Cackling Goose,Branta hutchinsii,0.5132496513249651
Cactus Wren,Campylorhynchus brunneicapillus,0.14290464710283482
California Gull,Larus californicus,0.3161290322580645
California Quail,Callipepla californica,0.3596425912137007
California Scrub-Jay,Aphelocoma californica,0.19537149817295982
California Thrasher,Toxostoma redivivum,0.18181818181818182
California Towhee,Melozone crissalis,0.49077475767640477
Canada Goose,Branta canadensis,0.43475662755323774
Canada Jay,Perisoreus canadensis,0.2857142857142857
Canvasback,Aythya valisineria,0
Canyon Towhee,Melozone fusca,0.4921875
Canyon Wren,Catherpes mexicanus,0.1251372118551043
Cape May Warbler,Setophaga tigrina,0
Carib Grackle,Quiscalus lugubris,0.0020161290322580645
Caribbean Dove,Leptotila jamaicensis,0
Carolina Chickadee,Poecile carolinensis,0.22140407404844975
Carolina Wren,Thryothorus ludovicianus,0.11523905615297193
Carrion Crow,Corvus corone,0
Caspian Tern,Hydroprogne caspia,0.7975951903807615
Cassin's Finch,Haemorhous cassinii,0.055944055944055944
Cassin's Kingbird,Tyrannus vociferans,0.31965174129353235
Cassin's Sparrow,Peucaea cassinii,0
Cassin's Vireo,Vireo cassinii,0
Cattle Egret,Bubulcus ibis,0.8421052631578947
Cave Swallow,Petrochelidon fulva,0.1162227602905569
Cedar Waxwing,Bombycilla cedrorum,0.08373712461917887
Cerulean Warbler,Setophaga cerulea,0
Chestnut-backed Antbird,Poliocrania exsul,0
Chestnut-backed Chickadee,Poecile rufescens,0.3240348176752811
Chestnut-headed Oropendola,Psarocolius wagleri,0
Chihuahuan Raven,Corvus cryptoleucus,0.3
Chimney Swift,Chaetura pelagica,0.13741967375185368
Chipping Sparrow,Spizella passerina,0.0782162101481814
Chuck-will's-widow,Antrostomus carolinensis,0.9992152759612869
Chukar,Alectoris chukar,0.9285714285714286
Cinnamon Hummingbird,Amazilia rutila,0.5684210526315789
Cinnamon-bellied Saltator,Saltator grandis,0.03125
Clapper Rail,Rallus crepitans,0.16666666666666666
Clark's Nutcracker,Nucifraga columbiana,0.6666666666666666
Clay-colored Sparrow,Spizella pallida,0.7391304347826086
