com_name,sci_name_bw,sci_name_elton,sci_name_botw,nocturnal,cavity
Bar-shouldered Dove,Geopelia humeralis,Geopelia humeralis,Geopelia humeralis,0,
Silvereye,Zosterops lateralis,Zosterops lateralis,Zosterops lateralis,0,
Fan-tailed Cuckoo,Cacomantis flabelliformis,Cacomantis flabelliformis,Cacomantis flabelliformis,0,
Rufous Fantail,Rhipidura rufifrons,Rhipidura rufifrons,Rhipidura rufifrons,0,
Spotted Pardalote,Pardalotus punctatus,Pardalotus punctatus,Pardalotus punctatus,0,
Eastern Whipbird,Psophodes olivaceus,Psophodes olivaceus,Psophodes olivaceus,0,
Green Catbird,Ailuroedus crassirostris,Ailuroedus crassirostris,Ailuroedus crassirostris,0,
Rainbow Bee-eater,Merops ornatus,Merops ornatus,Merops ornatus,0,
Mistletoebird,Dicaeum hirundinaceum,Dicaeum hirundinaceum,Dicaeum hirundinaceum,0,
Pale-headed Rosella,Platycercus adscitus,Platycercus adscitus,Platycercus adscitus,0,
Striated Pardalote,Pardalotus striatus,Pardalotus striatus,Pardalotus striatus,0,
Black-faced Monarch,Monarcha melanopsis,Monarcha melanopsis,Monarcha melanopsis,0,
Crimson Rosella,Platycercus elegans,Platycercus elegans,Platycercus elegans,0,
Peaceful Dove,Geopelia placida,Geopelia placida,Geopelia placida,0,
Rufous Whistler,Pachycephala rufiventris,Pachycephala rufiventris,Pachycephala rufiventris,0,
Satin Bowerbird,Ptilonorhynchus violaceus,Ptilonorhynchus violaceus,Ptilonorhynchus violaceus,0,
Scarlet Myzomela,Myzomela sanguinolenta,Myzomela sanguinolenta,Myzomela sanguinolenta,0,
Spangled Drongo,Dicrurus bracteatus,Dicrurus bracteatus,Dicrurus bracteatus,0,
Wonga Pigeon,Leucosarcia melanoleuca,Leucosarcia melanoleuca,Leucosarcia melanoleuca,0,
Brown Goshawk,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,0,
Australian Raven,Corvus coronoides,Corvus coronoides,Corvus coronoides,0,
Little Wattlebird,Anthochaera chrysoptera,Anthochaera chrysoptera,Anthochaera chrysoptera,0,
Golden Whistler,Pachycephala pectoralis,Pachycephala pectoralis,Pachycephala pectoralis,0,
Russet-tailed Thrush,Zoothera heinei,Zoothera heinei,Zoothera heinei,0,
Willie-wagtail,Rhipidura leucophrys,Rhipidura leucophrys,Rhipidura leucophrys,0,
Brown Cuckoo-Dove,Macropygia phasianella,Macropygia phasianella,Macropygia phasianella,0,
Long-billed Corella,Cacatua tenuirostris,Cacatua tenuirostris,Cacatua tenuirostris,0,
Eastern Yellow Robin,Eopsaltria australis,Eopsaltria australis,Eopsaltria australis,0,
Gray Shrikethrush,Colluricincla harmonica,Colluricincla harmonica,Colluricincla harmonica,0,
Leaden Flycatcher,Myiagra rubecula,Myiagra rubecula,Myiagra rubecula,0,
White-throated Honeyeater,Melithreptus albogularis,Melithreptus albogularis,Melithreptus albogularis,0,
Variegated Fairywren,Malurus lamberti,Malurus lamberti,Malurus lamberti,0,
Golden-headed Cisticola,Cisticola exilis,Cisticola exilis,Cisticola exilis,0,
Pheasant Coucal,Centropus phasianinus,Centropus phasianinus,Centropus phasianinus,0,
Australian Owlet-nightjar,Aegotheles cristatus,Aegotheles cristatus,Aegotheles cristatus,1,
Eastern Rosella,Platycercus eximius,Platycercus eximius,Platycercus eximius,0,
Large-billed Scrubwren,Sericornis magnirostra,Sericornis magnirostra,Sericornis magnirostra,0,
Double-barred Finch,Taeniopygia bichenovii,Taeniopygia bichenovii,Taeniopygia bichenovii,0,
White-winged Chough,Corcorax melanorhamphos,Corcorax melanorhamphos,Corcorax melanorhamphos,0,
Brown Honeyeater,Lichmera indistincta,Lichmera indistincta,Lichmera indistincta,0,
Orange-footed Scrubfowl,Megapodius reinwardt,Megapodius reinwardt,Megapodius reinwardt,0,
Large-tailed Nightjar,Caprimulgus macrurus,Caprimulgus macrurus,Caprimulgus macrurus,1,
Helmeted Friarbird,Philemon buceroides,Philemon buceroides,Philemon buceroides,0,
Blue-winged Kookaburra,Dacelo leachii,Dacelo leachii,Dacelo leachii,0,
Gang-gang Cockatoo,Callocephalon fimbriatum,Callocephalon fimbriatum,Callocephalon fimbriatum,0,
New Holland Honeyeater,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,0,
Red Wattlebird,Anthochaera carunculata,Anthochaera carunculata,Anthochaera carunculata,0,
Pacific Black Duck,Anas superciliosa,Anas superciliosa,Anas superciliosa,0,
Little Raven,Corvus mellori,Corvus mellori,Corvus mellori,0,
Brush Bronzewing,Phaps elegans,Phaps elegans,Phaps elegans,0,
Welcome Swallow,Hirundo neoxena,Hirundo neoxena,Hirundo neoxena,0,
Eastern Spinebill,Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,0,
